epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,10189.1,1.02063,0.47468,1.12713,0.94957,0.96155,0.96029,0.71802,1.04055,0.45082,1.21511,0.0080992,0.0080992,0.0080992
98,10291.9,1.01282,0.45851,1.12294,0.94976,0.96048,0.96012,0.71525,1.04295,0.45268,1.22073,0.0080794,0.0080794,0.0080794
99,10394.3,1.01984,0.46656,1.12411,0.94637,0.96665,0.95842,0.71407,1.04321,0.45227,1.21805,0.0080596,0.0080596,0.0080596
100,10495.7,1.03433,0.46884,1.12023,0.94564,0.9687,0.95985,0.72107,1.03671,0.44774,1.21284,0.0080398,0.0080398,0.0080398
101,10600.3,1.00719,0.4662,1.12239,0.95081,0.96326,0.96244,0.72133,1.0364,0.4446,1.21384,0.00802,0.00802,0.00802
102,10704.4,1.02086,0.46106,1.12051,0.95252,0.96383,0.96224,0.7203,1.03846,0.4437,1.21418,0.0080002,0.0080002,0.0080002
103,10805.6,1.014,0.46949,1.12432,0.95179,0.96464,0.9631,0.72079,1.03818,0.44492,1.21673,0.0079804,0.0079804,0.0079804
104,10910.3,1.01273,0.45818,1.12216,0.9514,0.96363,0.96378,0.72179,1.03989,0.44704,1.22189,0.0079606,0.0079606,0.0079606
105,11013.9,1.00722,0.4679,1.12101,0.94588,0.96777,0.96461,0.72354,1.0346,0.44202,1.22163,0.0079408,0.0079408,0.0079408
106,11119,1.0139,0.46086,1.11859,0.94776,0.9652,0.96239,0.72452,1.03251,0.44407,1.2189,0.007921,0.007921,0.007921
107,11222.7,1.00933,0.46976,1.12292,0.9515,0.96149,0.96199,0.72362,1.03019,0.44644,1.21881,0.0079012,0.0079012,0.0079012
108,11327.8,1.01111,0.46541,1.12527,0.95046,0.963,0.96225,0.72534,1.02817,0.44334,1.22111,0.0078814,0.0078814,0.0078814
109,11431.5,0.99333,0.46969,1.112,0.95055,0.96513,0.96147,0.7264,1.02528,0.44089,1.22064,0.0078616,0.0078616,0.0078616
110,11535.2,1.00134,0.45925,1.10918,0.94679,0.9657,0.96131,0.72729,1.02267,0.43964,1.21453,0.0078418,0.0078418,0.0078418
111,11640.3,0.98808,0.45595,1.10144,0.94921,0.96296,0.96028,0.72539,1.02265,0.44043,1.21357,0.007822,0.007822,0.007822
112,11743.2,0.99315,0.46117,1.10323,0.94541,0.9677,0.95982,0.72508,1.02207,0.43972,1.21129,0.0078022,0.0078022,0.0078022
113,11846.1,0.97437,0.4504,1.0903,0.94405,0.96817,0.95726,0.72504,1.01989,0.43965,1.20933,0.0077824,0.0077824,0.0077824
114,11947.2,0.98459,0.44483,1.09088,0.94482,0.9662,0.95651,0.72744,1.01592,0.44093,1.20646,0.0077626,0.0077626,0.0077626
115,12055.1,0.9822,0.45244,1.10223,0.94363,0.96829,0.9573,0.72903,1.01459,0.44081,1.2063,0.0077428,0.0077428,0.0077428
116,12159.9,0.97666,0.44455,1.09365,0.94617,0.96758,0.95785,0.73094,1.01222,0.44314,1.20291,0.007723,0.007723,0.007723
